Fall Term,4.0 and above,3.7 - 3.9,3.30 - 3.69,3.00 - 3.29,0.00 - 2.99,Unknown - Missing
2023,5778,882,98,0,0,247
2022,5456,760,95,0,0,229
2021,5962,1101,163,10,7,300
2020,4753,1153,290,0,0,240
2019,4147,1213,337,16,5,305
2018,4700,1388,337,0,0,262
2017,3978,1106,239,0,0,362
2016,3639,1304,343,0,0,435
2015,3586,968,196,16,10,516
2014,3317,969,211,16,7,402
2013,3520,1088,291,27,9,293
2012,2705,1169,416,57,22,204
2011,1783,1091,438,32,13,87
2010,2072,1408,416,20,5,26
2009,1965,1262,451,41,0,0
2008,2014,1568,626,46,6,32
2007,1926,1507,602,64,7,35
2006,2023,1748,731,46,7,34
2005,1760,1288,602,38,0,32
2004,1959,1364,492,37,0,0
2003,1933,1260,542,45,0,0
2002,2009,1457,707,43,0,27
2001,1906,1469,543,0,0,35
2000,1685,1022,388,0,0,19
1999,1687,1124,435,0,0,20
1998,1376,1133,780,74,0,0
1997,1394,1079,709,72,0,0
1996,1159,904,583,64,0,0
1995,1200,953,801,90,26,0
1994,959,812,848,203,0,9
